municipality_code,municipality_name,year,population_total_on_1_january,denominator_status
083,Nazarje,2016,2582,valid
083,Nazarje,2017,2582,valid
083,Nazarje,2018,2588,valid
083,Nazarje,2019,2623,valid
083,Nazarje,2020,2639,valid
083,Nazarje,2021,2611,valid
083,Nazarje,2022,2682,valid
083,Nazarje,2023,2673,valid
083,Nazarje,2024,2691,valid
084,Nova Gorica,2016,31798,valid
084,Nova Gorica,2017,31825,valid
084,Nova Gorica,2018,31638,valid
084,Nova Gorica,2019,31799,valid
084,Nova Gorica,2020,31884,valid
084,Nova Gorica,2021,31845,valid
084,Nova Gorica,2022,31824,valid
084,Nova Gorica,2023,32034,valid
084,Nova Gorica,2024,31956,valid
085,Novo mesto,2016,36503,valid
085,Novo mesto,2017,36433,valid
085,Novo mesto,2018,36533,valid
085,Novo mesto,2019,37063,valid
085,Novo mesto,2020,37587,valid
085,Novo mesto,2021,37398,valid
085,Novo mesto,2022,37615,valid
085,Novo mesto,2023,38075,valid
085,Novo mesto,2024,38348,valid
086,Odranci,2016,1637,valid
086,Odranci,2017,1631,valid
086,Odranci,2018,1621,valid
086,Odranci,2019,1641,valid
086,Odranci,2020,1632,valid
086,Odranci,2021,1619,valid
086,Odranci,2022,1595,valid
086,Odranci,2023,1606,valid
086,Odranci,2024,1592,valid
087,Ormož,2016,12316,valid
087,Ormož,2017,12213,valid
087,Ormož,2018,12112,valid
087,Ormož,2019,11942,valid
087,Ormož,2020,11906,valid
087,Ormož,2021,11886,valid
087,Ormož,2022,11890,valid
087,Ormož,2023,11912,valid
087,Ormož,2024,11813,valid
088,Osilnica,2016,372,valid
088,Osilnica,2017,377,valid
088,Osilnica,2018,370,valid
088,Osilnica,2019,369,valid
088,Osilnica,2020,353,valid
088,Osilnica,2021,327,valid
088,Osilnica,2022,321,valid
088,Osilnica,2023,339,valid
088,Osilnica,2024,331,valid
