municipality_code,grid_cell_index,latitude,longitude,intersection_area_m2,normalized_intersection_weight
019,416,45.7,14.1,26900805.169157,0.185392292971441
019,448,45.6,13.9,172613.165530892,0.00118959824264003
019,449,45.6,14,20888576.6306645,0.143957814426634
019,450,45.6,14.1,14666922.4158151,0.101080036839187
020,353,45.9,14.6,2379121.62546697,0.0230553087089207
020,354,45.9,14.7,27417253.339229,0.265691855733748
020,355,45.9,14.8,3637942.0984961,0.035254136336785
020,387,45.8,14.6,371365.32692414,0.00359878291398607
020,388,45.8,14.7,31880717.8209412,0.308945866136423
020,389,45.8,14.8,31350923.2464936,0.303811795925194
020,423,45.7,14.8,6154598.86732478,0.0596422542449442
021,281,46.1,14.2,15915330.5331483,0.135363403782335
021,282,46.1,14.3,42418733.0143556,0.360780699652956
021,283,46.1,14.4,22993302.4838797,0.19556311959291
021,315,46,14.2,12130151.9691506,0.103169623497377
021,316,46,14.3,8889765.62381935,0.0756094214418645
021,317,46,14.4,15227556.3134792,0.129513732032557
022,285,46.1,14.6,9219139.20963634,0.27668352539832
022,286,46.1,14.7,23961798.819811,0.719138177826923
022,287,46.1,14.8,139221.515159618,0.00417829677475693
023,251,46.2,14.6,21696372.7296436,0.300201170896208
023,252,46.2,14.7,6781072.4582369,0.0938260932950049
023,285,46.1,14.6,33471819.5463996,0.463131766082116
023,286,46.1,14.7,10323513.7657911,0.142840969726671
024,162,46.5,15.9,100251.27668953,0.00352869517420512
024,163,46.5,16,12121329.046014,0.426652674380245
024,196,46.4,15.9,2815449.69572783,0.0990996232925741
024,197,46.4,16,13373266.6324016,0.470719007152976
025,85,46.7,15,154430.467880889,0.0014716483825997
025,86,46.7,15.1,281146.49162936,0.00267919138857397
025,118,46.6,14.9,5273380.60121329,0.0502527910398731
025,119,46.6,15,54170964.4878913,0.516223342235541
025,120,46.6,15.1,40060659.0723765,0.381758890837606
025,153,46.5,15,3996105.91923231,0.0380809751691691
025,154,46.5,15.1,1000381.96812495,0.00953316094663707
026,160,46.5,15.7,10466074.7870521,0.262896214792979
026,161,46.5,15.8,29344596.4898005,0.737103785207021
027,246,46.2,14.1,12824671.7371904,0.0836946266411508
027,247,46.2,14.2,15847909.0248086,0.103424466220673
027,279,46.1,14,8456362.92462414,0.0551867644039626
