scenario_family,year,air_temperature_c_mean_climate,near_surface_specific_humidity_g_kg_climate,precipitation_sum_mm_proxy_climate,soil_moisture_upper_portion_kg_m2_climate,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,table_role,target_available,projection_horizon_years_from_2025
high_emissions,2071,12.4386336406072,7.104227026303609,1170.167406082153,26.819998900095623,2.204079047838848,0.8304924150307968,-7.793733751773743,-0.9552779356638544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,46
high_emissions,2072,12.25920178492864,7.077541848023732,1243.7762150764463,26.01388104756673,2.0246471921602893,0.8038072367509201,65.81507524251947,-1.761395788192747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,47
high_emissions,2073,12.245826462904612,7.137985706329346,1242.5141491889954,26.027987162272137,2.0112718701362606,0.8642510950565336,64.5530093550683,-1.7472896734873409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,48
high_emissions,2074,12.697138249874117,7.121926546096802,1187.5990591049194,25.69091574350993,2.462583657105764,0.8481919348239897,9.63791927099237,-2.084361092249548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,49
high_emissions,2075,12.665498634179434,7.179986953735352,1204.5010993480682,25.74884303410848,2.430944041411083,0.9062523424625396,26.539959514141174,-2.026433801650999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,50
high_emissions,2076,12.723781943321228,7.237189809481303,1296.3417539596558,25.9394268989563,2.489227350552877,0.9634551982084912,118.3806141257287,-1.8358499368031789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,51
high_emissions,2077,12.90766727924347,7.35702923933665,1223.6206040382383,25.80812692642212,2.6731126864751182,1.0832946280638378,45.65946420431146,-1.9671499093373583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,52
high_emissions,2078,12.739603797594706,7.201828122138977,1168.7607765197754,25.776296774546307,2.505049204826354,0.928093510866165,-9.200363314151671,-1.998980061213171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,53
high_emissions,2079,12.960617224375406,7.150346755981445,1137.134608745575,25.924089908599854,2.7260626316070558,0.8766121447086332,-40.82653108835211,-1.851186927159624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,54
high_emissions,2080,12.971645216147104,7.410308559735616,1269.1024956703186,26.023654619852703,2.7370906233787533,1.1365739484628037,91.14135583639154,-1.7516222159067745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,55
high_emissions,2081,12.935476501782736,7.280672907829285,1180.8285546302795,26.109346866607662,2.700921909014385,1.0069382965564726,2.867414796352477,-1.6659299691518117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,56
high_emissions,2082,12.987984478473663,7.301498770713806,1198.5998194217682,25.52414306004842,2.7534298857053123,1.027764159440994,20.638679587841125,-2.251133775711057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,57
high_emissions,2083,13.432832499345144,7.368593732515971,1172.479118347168,25.578499794006348,3.198277906576793,1.094859121243159,-5.482021486759095,-2.19677704175313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,58
high_emissions,2084,13.228766143321993,7.317837993303935,1192.1373941898346,25.579776287078857,2.99421155055364,1.044103382031123,14.176254355907531,-2.19550054868062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,59
high_emissions,2085,13.586567759513857,7.419010400772095,1162.317641735077,25.853662808736164,3.352013166745504,1.1452757894992829,-15.64349809885016,-1.9216140270233133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,60
