municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
027,2024-12-02,2024-12-08,complete,168,168,0.682240190124644,-1.43273344867676,5.42292680959868,0.999312486525513,2.08423735539749,0.367914123172625,0.372096801864744
028,2024-12-02,2024-12-08,complete,168,168,1.90787033394804,0.375870093828793,4.83912950091976,2.48976503873476,3.71066423908601,0.371517412716316,0.37698587368179
029,2024-12-02,2024-12-08,complete,168,168,1.40233633216848,-0.0315534409016793,4.79220852679282,1.84750665941835,3.08778015333656,0.368266293600698,0.372317416624057
030,2024-12-02,2024-12-08,complete,168,168,-0.101908774458277,-1.98517891260085,5.8573678734727,0.482664893753248,1.5553294862111,0.373113823019881,0.378202182100945
031,2024-12-02,2024-12-08,complete,168,168,1.23689096957886,-0.195060410536032,3.25305449149891,1.83824226473679,3.0722941296709,0.365790301484152,0.368680208630157
032,2024-12-02,2024-12-08,complete,168,168,1.32440757166352,-0.337277873463791,8.29202935392577,2.08565373007518,3.26477565129097,0.376049198136537,0.380531667247009
033,2024-12-02,2024-12-08,complete,168,168,1.34280068001045,-0.121828496260741,3.09781834541311,2.02930434621551,3.25532336133803,0.366528214760905,0.368618102534256
034,2024-12-02,2024-12-08,complete,168,168,1.01017744295489,-0.788120711184521,6.79198748608104,1.47554661842579,2.64859120311851,0.375943267134313,0.381351403951294
035,2024-12-02,2024-12-08,complete,168,168,2.99650940386624,-0.496579000309949,5.1964640985127,3.66552310202291,4.83736855237747,0.373979756733767,0.380282426737311
036,2024-12-02,2024-12-08,complete,168,168,1.22617295910432,-1.1768340489516,5.6532820315996,1.91111707404105,3.01627666579256,0.363320503841929,0.367687347422354
037,2024-12-02,2024-12-08,complete,168,168,1.30974835111254,-0.416769524790382,7.34353779266722,2.08898666566368,3.25510460645882,0.373633563859798,0.379056186562745
038,2024-12-02,2024-12-08,complete,168,168,1.33206681702994,-1.05420133763214,6.16324504311142,2.15854861973895,3.35555272051754,0.373421725986972,0.378733129004493
039,2024-12-02,2024-12-08,complete,168,168,1.46860553952385,-0.171522533370757,9.43777331902841,2.16268146046248,3.36445204555291,0.378475321515924,0.382236474203281
040,2024-12-02,2024-12-08,complete,168,168,6.55862543015254,1.20296558198477,4.2254277026359,7.04896952311199,8.03516395205542,0.26872680300758,0.276802789597284
041,2024-12-02,2024-12-08,complete,168,168,-1.04107839504053,-3.09306594496598,6.89688002354531,-0.406055060189872,0.586562055942386,0.364144798004011,0.364060397470759
042,2024-12-02,2024-12-08,complete,168,168,1.8212117256956,0.290423928921439,5.04945272223282,2.43957412059305,3.65153559804971,0.366558921953977,0.370854485771497
043,2024-12-02,2024-12-08,complete,168,168,0.284730532437289,-1.6129658138911,5.68879540222425,0.775392836005595,1.86173965379743,0.373634421131064,0.378598628416921
044,2024-12-02,2024-12-08,complete,168,168,2.33216937146446,-0.950577645629986,5.54311537928925,2.7951870968901,3.8605469726104,0.367727563077067,0.37002049919225
045,2024-12-02,2024-12-08,complete,168,168,1.71354468354397,0.205567107941645,6.25491332391187,2.09084453242736,3.29186924821343,0.374256364217596,0.379635983876981
046,2024-12-02,2024-12-08,complete,168,168,0.452036778642248,-2.75099549665984,6.03546354959518,0.620280051876212,1.65472420219876,0.358090061041068,0.358195121515548
047,2024-12-02,2024-12-08,complete,168,168,2.03167695545017,0.418402244931198,2.80938527129138,2.93936200823105,4.13801690964474,0.369170688447498,0.371849877493722
048,2024-12-02,2024-12-08,complete,168,168,1.09422749799034,-0.344558737031218,14.775665438909,2.10890325893216,3.28418734078492,0.377605351671288,0.379020684910787
049,2024-12-02,2024-12-08,complete,168,168,4.71353864911521,0.782518609704666,4.71212929305657,5.35914532256994,6.39915889509555,0.360023255908427,0.365026687286335
050,2024-12-02,2024-12-08,complete,168,168,4.72424397428124,0.228126199083554,4.68217296594035,5.31645480881194,6.41046187530269,0.345455265220559,0.352421703010389
051,2024-12-02,2024-12-08,complete,168,168,1.89385948837277,0.142102161268051,7.29110130612698,2.64006329963136,3.83101449917282,0.375628555879289,0.381096609772322
052,2024-12-02,2024-12-08,complete,168,168,0.48385353515594,-1.4943127018389,5.44188124910872,0.600707563516041,1.67249335884176,0.371447585050363,0.375710694657564
053,2024-12-02,2024-12-08,complete,168,168,-1.74952053710224,-4.31616322414856,7.81995876018147,-0.547579741989076,0.447190593856529,0.359854351673981,0.358963067223817
054,2024-12-02,2024-12-08,complete,168,168,2.16701844810224,0.324636499774276,8.30231401713341,2.94069979256176,4.13328623754871,0.378473707861366,0.383363948677935
055,2024-12-02,2024-12-08,complete,168,168,0.762434658776056,-0.737857990282946,7.21051070992539,0.886726451488035,2.07485753975906,0.370812006652981,0.374009854764129
056,2024-12-02,2024-12-08,complete,168,168,0.97520934949601,-0.396422606377383,3.59341679150359,1.42932006569811,2.66444737624207,0.364142878421554,0.367710995438746
057,2024-12-02,2024-12-08,complete,168,168,1.32617317003399,-0.475548736359463,6.75884691326959,1.83200310595116,3.01890120649379,0.37633824753202,0.381610445720055
058,2024-12-02,2024-12-08,complete,168,168,1.44539611175147,0.00502105598820518,6.13315007133963,1.71132129059188,2.93635760684366,0.371291696415043,0.375379145875594
059,2024-12-02,2024-12-08,complete,168,168,2.3403239923645,0.640552819545812,3.38803696407506,3.12913388170126,4.30882334940928,0.366304019074069,0.370948002533165
060,2024-12-02,2024-12-08,complete,168,168,1.10133056411454,-0.653312041276814,7.30717440596554,1.57591810172839,2.76982662877354,0.376784522562978,0.381488075912532
061,2024-12-02,2024-12-08,complete,168,168,1.31137916913662,-0.440318472737642,6.8156425649383,1.65982237757397,2.82312375085841,0.374474170900556,0.379825176564026
062,2024-12-02,2024-12-08,complete,168,168,-0.418370373399748,-2.27453300564469,6.28603625355455,0.315245671015966,1.33545420075039,0.371358846489672,0.375001556456435
063,2024-12-02,2024-12-08,complete,168,168,2.0676365584718,0.491514893065898,4.19629605286143,2.63289080950389,3.85031259216305,0.366750735459375,0.37145423055333
064,2024-12-02,2024-12-08,complete,168,168,1.16758809863958,-0.777117958985286,5.99341653123932,1.90880462399589,3.06846042954856,0.370338205014281,0.376494590551605
065,2024-12-02,2024-12-08,complete,168,168,0.149313560178735,-1.6232211904464,8.23658919773754,1.35499067342832,2.5194155289103,0.370816847287431,0.376090643297795
066,2024-12-02,2024-12-08,complete,168,168,0.241361316299549,-1.29505493611683,10.3599443926299,1.43478223955062,2.61252830705761,0.371837075274654,0.375916280912273
067,2024-12-02,2024-12-08,complete,168,168,-0.711186328061511,-2.67959202726993,6.16492582262215,0.208149969928186,1.20612614166093,0.370760184903452,0.374640489015116
068,2024-12-02,2024-12-08,complete,168,168,0.720581548031782,-1.07833545406543,5.66729362868656,1.13035599850133,2.26938865163118,0.375587713078399,0.381030130163963
069,2024-12-02,2024-12-08,complete,168,168,1.75731536094729,0.231237341454913,6.09081026052513,2.30211285157989,3.50181394975263,0.372094595762435,0.377801782249531
070,2024-12-02,2024-12-08,complete,168,168,0.824643827812233,-0.674280458951174,7.02257653755624,1.06452714353882,2.24735021940139,0.372245006884976,0.376281767360498
071,2024-12-02,2024-12-08,complete,168,168,1.07339781472269,-0.79755144382031,5.97850118726185,1.12300028195323,2.23721268252844,0.37370773191408,0.379120909440257
